"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-14","4.7",",,W",,,"0.0","T,,W,2400","0.0","T,,W,","0.0",",,W,","-1.5","H,,S","3.9",",,W","-4.3",",,W","  260",",,W","  280",",,W","9.8",",,W","12.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-15","3.1",",,W",,,"0.0","T,,W,2400","0.0",",,W,","0.0",",,W,","4.6","H,,S","10.6",",,W","-0.5",",,W","  130",",,W","  130",",,W","10.3",",,W","11.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-16","6.1",",,W",,,"8.4",",,W,2400","0.0",",,W,","0.0",",,W,","8.7","H,,S","12.2",",,W","6.1",",,W","  300",",,W","  290",",,W","9.4",",,W","11.6",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-17","4.7",",,W",,,"1.3",",,W,2400","15.0",",,W,","0.0",",,W,","3.9","H,,S","6.1",",,W","-0.5",",,W","  350",",,W","  360",",,W","7.6",",,W","9.8",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-18","9.6",",,W",,,"0.0","T,,W,2400","3.0",",,W,","30.0",",,W,","-1.8","H,,S","0.6",",,W","-6.6",",,W","  300",",,W","  270",",,W","13.9",",,W","17.9",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-19","9.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0","T,,W,","-5.2","H,,S","-0.5",",,W","-7.7",",,W","  300",",,W","  290",",,W","14.3",",,W","19.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-20","5.4",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","0.2","H,,S","4.4",",,W","-2.1",",,W","  310",",,W","  300",",,W","12.5",",,W","14.8",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-21","6.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","0.4","H,,S","3.9",",,W","-2.7",",,W","  320",",,W","  310",",,W","10.7",",,W","13.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-22","5.1",",,W",,,"0.3",",,W,2400","5.0",",,W,","0.0",",,W,","-2.6","H,,S","-1.0",",,W","-6.0",",,W","   20",",,W","  360",",,W","8.9",",,W","11.2",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-23","11.2",",,W",,,"73.7",",,W,2400","770.0",",,W,","180.0",",,W,","-1.8","H,,S","-0.5",",,W","-3.2",",,W","   40",",,W","   40",",,W","16.5",",,W","21.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-24","5.7",",,W",,,"0.0","T,,W,2400","3.0",",,W,","710.0",",,W,","-2.7","H,,S","1.7",",,W","-7.1",",,W","  350",",,W","  360",",,W","13.0",",,W","16.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-25","1.9",",,W",,,"0.0",",,W,2400","0.0",",,W,","660.0",",,W,","-0.7","H,,S","3.9",",,W","-6.6",",,W","  190",",,W","  200",",,W","6.3",",,W","6.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-26","4.3",",,W",,,"0.0","T,,W,2400","0.0",",,W,","560.0",",,W,","3.7","H,,S","7.2",",,W","1.7",",,W","  190",",,W","  200",",,W","7.2",",,W","9.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-27","5.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","380.0",",,W,","5.9","H,,S","7.2",",,W","-0.5",",,W","  320",",,W","  330",",,W","10.3",",,W","12.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-28","1.6",",,W",,,"0.0",",,W,2400","0.0",",,W,","280.0",",,W,","1.4","H,,S","5.6",",,W","-3.8",",,W","  250",",,W","  250",",,W","4.5",",,W","5.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-29","5.9",",,W",,,"0.0","T,,W,2400","0.0",",,W,","230.0",",,W,","3.2","H,,S","5.6",",,W","-0.5",",,W","  310",",,W","  330",",,W","12.5",",,W","17.4",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-30","5.1",",,W",,,"0.0",",,W,2400","0.0",",,W,","180.0",",,W,","0.8","H,,S","3.9",",,W","-2.1",",,W","  310",",,W","  320",",,W","9.8",",,W","12.5",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-01-31","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,","130.0",",,W,","4.4","H,,S","8.9",",,W","0.6",",,W","  180",",,W","  180",",,W","8.1",",,W","10.3",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-01","4.3",",,W",,,"0.0","T,,W,2400","0.0",",,W,","50.0",",,W,","8.9","H,,S","15.6",",,W","4.4",",,W","  330",",,W","  330",",,W","8.9",",,W","10.7",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.76401","3.4","2016-02-02","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,","0.0",",,W,","6.9","H,,S","11.1",",,W","2.2",",,W","   20",",,W","   20",",,W","6.3",",,W","7.2",",,W"
